DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year,WeekdayNo,IsWeekend,FiscalYear,FiscalQuarter,IsHoliday,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,DayNumberOfWeek,SpanishMonthName,FrenchMonthName,CalendarSemester,FiscalSemester
20190101,2019-01-01,Tuesday,January,Jan,1,1,2019,2,False,2018,2,True,Martes,Mardi,1,1,1,2,Enero,Janvier,1,1
20190102,2019-01-02,Wednesday,January,Jan,1,1,2019,3,False,2019,1,False,Miércoles,Mercredi,2,2,1,3,Enero,Janvier,1,1
20190103,2019-01-03,Thursday,January,Jan,1,1,2019,4,False,2019,1,False,Jueves,Jeudi,3,3,1,4,Enero,Janvier,1,1
20190104,2019-01-04,Friday,January,Jan,1,1,2019,5,False,2019,2,False,Viernes,Vendredi,4,4,1,5,Enero,Janvier,1,1
20190105,2019-01-05,Saturday,January,Jan,1,1,2019,6,True,2018,3,False,Sábado,Samedi,5,5,1,6,Enero,Janvier,1,2
20190106,2019-01-06,Sunday,January,Jan,1,1,2019,7,True,2018,4,False,Domingo,Dimanche,6,6,1,7,Enero,Janvier,1,2
20190107,2019-01-07,Monday,January,Jan,1,1,2019,1,False,2018,2,True,Lunes,Lundi,7,7,2,1,Enero,Janvier,1,1
20190108,2019-01-08,Tuesday,January,Jan,1,1,2019,2,False,2019,1,False,Martes,Mardi,8,8,2,2,Enero,Janvier,1,1
20190109,2019-01-09,Wednesday,January,Jan,1,1,2019,3,False,2019,1,False,Miércoles,Mercredi,9,9,2,3,Enero,Janvier,1,1
20190110,2019-01-10,Thursday,January,Jan,1,1,2019,4,False,2019,2,False,Jueves,Jeudi,10,10,2,4,Enero,Janvier,1,1
20190111,2019-01-11,Friday,January,Jan,1,1,2019,5,False,2018,3,True,Viernes,Vendredi,11,11,2,5,Enero,Janvier,1,2
20190112,2019-01-12,Saturday,January,Jan,1,1,2019,6,True,2019,3,False,Sábado,Samedi,12,12,2,6,Enero,Janvier,1,2
20190113,2019-01-13,Sunday,January,Jan,1,1,2019,7,True,2019,1,False,Domingo,Dimanche,13,13,2,7,Enero,Janvier,1,1
20190114,2019-01-14,Monday,January,Jan,1,1,2019,1,False,2018,1,False,Lunes,Lundi,14,14,3,1,Enero,Janvier,1,1
20190115,2019-01-15,Tuesday,January,Jan,1,1,2019,2,False,2018,3,False,Martes,Mardi,15,15,3,2,Enero,Janvier,1,2
20190116,2019-01-16,Wednesday,January,Jan,1,1,2019,3,False,2018,4,False,Miércoles,Mercredi,16,16,3,3,Enero,Janvier,1,2
20190117,2019-01-17,Thursday,January,Jan,1,1,2019,4,False,2018,2,False,Jueves,Jeudi,17,17,3,4,Enero,Janvier,1,1
20190118,2019-01-18,Friday,January,Jan,1,1,2019,5,False,2019,1,False,Viernes,Vendredi,18,18,3,5,Enero,Janvier,1,1
20190119,2019-01-19,Saturday,January,Jan,1,1,2019,6,True,2018,1,False,Sábado,Samedi,19,19,3,6,Enero,Janvier,1,1
20190120,2019-01-20,Sunday,January,Jan,1,1,2019,7,True,2018,3,False,Domingo,Dimanche,20,20,3,7,Enero,Janvier,1,2
20190121,2019-01-21,Monday,January,Jan,1,1,2019,1,False,2019,2,False,Lunes,Lundi,21,21,4,1,Enero,Janvier,1,1
20190122,2019-01-22,Tuesday,January,Jan,1,1,2019,2,False,2018,3,False,Martes,Mardi,22,22,4,2,Enero,Janvier,1,2
20190123,2019-01-23,Wednesday,January,Jan,1,1,2019,3,False,2018,2,False,Miércoles,Mercredi,23,23,4,3,Enero,Janvier,1,1
20190124,2019-01-24,Thursday,January,Jan,1,1,2019,4,False,2018,2,False,Jueves,Jeudi,24,24,4,4,Enero,Janvier,1,1
20190125,2019-01-25,Friday,January,Jan,1,1,2019,5,False,2018,2,False,Viernes,Vendredi,25,25,4,5,Enero,Janvier,1,1
20190126,2019-01-26,Saturday,January,Jan,1,1,2019,6,True,2019,1,False,Sábado,Samedi,26,26,4,6,Enero,Janvier,1,1
20190127,2019-01-27,Sunday,January,Jan,1,1,2019,7,True,2018,4,False,Domingo,Dimanche,27,27,4,7,Enero,Janvier,1,2
20190128,2019-01-28,Monday,January,Jan,1,1,2019,1,False,2019,3,False,Lunes,Lundi,28,28,5,1,Enero,Janvier,1,2
20190129,2019-01-29,Tuesday,January,Jan,1,1,2019,2,False,2019,4,False,Martes,Mardi,29,29,5,2,Enero,Janvier,1,2
20190130,2019-01-30,Wednesday,January,Jan,1,1,2019,3,False,2018,3,False,Miércoles,Mercredi,30,30,5,3,Enero,Janvier,1,2
20190131,2019-01-31,Thursday,January,Jan,1,1,2019,4,False,2019,2,False,Jueves,Jeudi,31,31,5,4,Enero,Janvier,1,1
20190201,2019-02-01,Friday,February,Feb,2,1,2019,5,False,2018,1,False,Viernes,Vendredi,1,32,5,5,Febrero,Février,1,1
20190202,2019-02-02,Saturday,February,Feb,2,1,2019,6,True,2018,4,True,Sábado,Samedi,2,33,5,6,Febrero,Février,1,2
20190203,2019-02-03,Sunday,February,Feb,2,1,2019,7,True,2019,1,False,Domingo,Dimanche,3,34,5,7,Febrero,Février,1,1
20190204,2019-02-04,Monday,February,Feb,2,1,2019,1,False,2019,3,False,Lunes,Lundi,4,35,6,1,Febrero,Février,1,2
20190205,2019-02-05,Tuesday,February,Feb,2,1,2019,2,False,2019,1,False,Martes,Mardi,5,36,6,2,Febrero,Février,1,1
20190206,2019-02-06,Wednesday,February,Feb,2,1,2019,3,False,2018,1,False,Miércoles,Mercredi,6,37,6,3,Febrero,Février,1,1
20190207,2019-02-07,Thursday,February,Feb,2,1,2019,4,False,2018,4,False,Jueves,Jeudi,7,38,6,4,Febrero,Février,1,2
20190208,2019-02-08,Friday,February,Feb,2,1,2019,5,False,2019,2,False,Viernes,Vendredi,8,39,6,5,Febrero,Février,1,1
20190209,2019-02-09,Saturday,February,Feb,2,1,2019,6,True,2018,1,False,Sábado,Samedi,9,40,6,6,Febrero,Février,1,1
20190210,2019-02-10,Sunday,February,Feb,2,1,2019,7,True,2018,2,False,Domingo,Dimanche,10,41,6,7,Febrero,Février,1,1
20190211,2019-02-11,Monday,February,Feb,2,1,2019,1,False,2018,3,False,Lunes,Lundi,11,42,7,1,Febrero,Février,1,2
20190212,2019-02-12,Tuesday,February,Feb,2,1,2019,2,False,2018,1,False,Martes,Mardi,12,43,7,2,Febrero,Février,1,1
20190213,2019-02-13,Wednesday,February,Feb,2,1,2019,3,False,2019,4,False,Miércoles,Mercredi,13,44,7,3,Febrero,Février,1,2
20190214,2019-02-14,Thursday,February,Feb,2,1,2019,4,False,2018,3,False,Jueves,Jeudi,14,45,7,4,Febrero,Février,1,2
20190215,2019-02-15,Friday,February,Feb,2,1,2019,5,False,2019,3,False,Viernes,Vendredi,15,46,7,5,Febrero,Février,1,2
